
INFO_NOFUNDS				;Похоже, у вас недостаточно средств для оплаты этого
INFO_UNMETEMPIRE			;Новая империя называется {0}
INFO_EXPLORATION	 		;Мы предоставили вам карты системы {0} в секторе {1}
INFO_INDEPENDENTCOLONY			;Независимая колония находится в {0}
INFO_RUINS				;Наши источники сообщают нам о древних руинах, {0}, расположенных в {1}.\n\nВозможно, вы найдете там что-то ценное...
INFO_DEBRISFIELD			;Мы слышали слухи о обширном поле обломков из кораблей, погибших в древнем сражении в системе {0} сектора {1}.\n\nПо всей видимости, многие из этих обломков можно использовать для переработки. Если вы отправите туда строительный корабль, то сможете восстановить некоторые из них...
INFO_PLANETDESTROYER			;Мы слышали слухи о колоссальном заброшенном строительном проекте в системе {0} в секторе {1}.\n\nМы не уверены, для чего предназначен этот проект, но при наличии соответствующего оборудования его, вероятно, можно завершить...
INFO_RESTRICTEDAREA			;Мы слышали слухи о секретной закрытой зоне вблизи системы {0} в секторе {1}.\n\nПо-видимому, корабли, входящие в эту зону, обнаруживают, что их гипердвигатель внезапно и загадочным образом отключается. Многие, кто туда попадает, бесследно исчезают...
PIRATE_PROTECTIONPROPOSE		;Вы поступили мудро, обратившись к нам за защитой. За вполне разумную плату, указанную ниже, мы обеспечим вашу безопасность на всей территории нашего владения.
PIRATE_PROTECTIONPROPOSEINITIATE	;Кто знает, какие скрытые опасности ждут вас при путешествии по беззаконным просторам космоса?\n\nЗа вполне разумную плату, указанную ниже, мы обеспечим вашу безопасность на всей территории нашего домена.\n\nЧто скажете?
PIRATE_PROTECTIONACCEPTRESPONSE		;Отлично! Мы позаботимся о том, чтобы ваши корабли не подверглись никаким «неприятным случайностям» до тех пор, пока не наступит срок уплаты нашей следующей платы...
PIRATE_PROTECTIONREJECTRESPONSE		;Как жаль, что вы так скупы! Без оплаты мы не можем гарантировать вашу безопасность...
PIRATE_PROTECTIONALREADYPAID		;Вы уже заплатили нам дань.\n\nВернитесь, когда истечет срок действия вашей текущей защиты. Мы будем рады принять дальнейшую оплату тогда.
PIRATE_BUYINFO				;Мы можем предоставить вам информацию о любом из перечисленных ниже предметов по указанным ценам
PIRATE_ATTACKOFFER_EMPIRES		;Мы готовы атаковать любую из перечисленных ниже империй за указанные цены
PIRATE_ATTACKOFFER_SINGLEEMPIRE		;Похоже, у вас возникли проблемы с {0}. Мы будем очень рады атаковать их базы за вас.\n\nКонечно, мы будем предельно скрытны в наших договоренностях — никто другой не узнает.\n\nВсего лишь за небольшую плату в {1} кредитов. Что скажете?
PIRATE_ATTACKCOMMENCE			;Считайте эти деньги потраченными не зря. Мы немедленно приступим к атакам на {0}!

PIRATE_ALLIANCEPROPOSE			;Ваше предыдущее соглашение с нами истекло. Почему бы не перейти на постоянное союзничество с нами?\n\nЗа ежемесячную плату в размере {0} кредитов мы сможем защищать ваши корабли и атаковать ваших врагов, при этом ваши руки останутся чисты.\n\nЧто вы думаете об этом?
PIRATE_ALLIANCEACCEPT			;Мы принимаем ваше предложение о союзе
PIRATE_ALLIANCEACCEPTRESPONSE	;Отличное решение!\n\nМы позаботимся о том, чтобы ваши корабли были в безопасности от наших мародеров. А мы начнем атаковать активы ваших врагов.\n\nСообщите нам, если есть кто-то, кого вы хотели бы, чтобы мы атаковали в первую очередь.
PIRATE_ALLIANCEREJECT			;Мы отклоняем ваше предложение об альянсе
PIRATE_ALLIANCEREJECTRESPONSE	;Неудачный выбор.\n\nМы не можем помочь вам без соответствующей компенсации.\n\nПиратство — дорогое удовольствие, знаете ли!
PIRATE_ALLIANCECANCEL			;Мы хотим расторгнуть этот альянс
PIRATE_ALLIANCECANCELRESPONSE	;Грустный конец весьма прибыльным отношениям...\n\nПомните, что без регулярных выплат мы не можем гарантировать безопасность ваших кораблей.\n\nМожет быть, вам стоит пересмотреть своё решение?

INFO_OFFER_UNMETEMPIRE			;Обмен с другими цивилизациями — ключ к росту и процветанию, не так ли?\n\nМы можем связать вас с другой империей за {0} кредитов
INFO_OFFER_INDEPENDENTCOLONY		;Задаётесь вопросом, где основать следующую колонию?\n\nМы можем указать местоположение независимой колонии за {0} кредитов
INFO_OFFER_SYSTEMMAPS			;Знание окружающей обстановки — ключ к выживанию.\n\nУ нас есть карты неисследованной системы, которые мы готовы продать вам за {0} кредитов
INFO_OFFER_RUINS			;Во всей галактике скрыто множество ценных тайн.\n\nМы сделали интригующее открытие и будем рады поделиться им с вами за {0} кредитов.\n\nЧто вы скажете?
INFO_OFFER_DEBRISFIELD			;Во всей галактике скрыто множество ценных тайн.\n\nМы сделали интригующее открытие и будем рады поделиться им с вами за {0} кредитов.\n\nЧто вы скажете?
INFO_OFFER_RESTRICTEDAREA		;Во всей галактике скрыто множество ценных тайн.\n\nМы сделали интригующее открытие и будем рады поделиться им с вами за {0} кредитов.\n\nЧто вы скажете?
INFO_OFFER_PLANETDESTROYER		;Во всей галактике скрыто множество ценных тайн.\n\nМы сделали интригующее открытие и будем рады поделиться им с вами за {0} кредитов.\n\nЧто вы скажете?

OFFER_FREETRADE				;Мы настоятельно рекомендуем вам присоединиться к нашей динамичной экономике, заключив Соглашение о свободной торговле!\n\nЧто вы скажете?
OFFER_PROTECTORATE			;Наши Друзья, мы предлагаем вам убежище в рамках договора о протекторате. Наша могущественная империя защитит вас от любых нападающих.\n\nЧто вы думаете?
OFFER_MUTUALDEFENSE			;Наши добрые друзья, мы считаем, что формирование Пакта о взаимной обороне будет отвечать интересам обеих сторон.\n\nЭто отпугнет других от попыток напасть на нас.\n\nЧто вы думаете по этому поводу?

OFFER_DEAL_TERRITORYMAP	;Не желаете обменять карты территорий?
OFFER_DEAL_GALAXYMAP	;Есть желание обменять галактические карты?
OFFER_DEAL_COMPONENT	;Хотите купить у нас какие-нибудь технологии?\n\nМы готовы продать вам {0} за {1} кредитов.\n\nЧто вы скажете?

DEAL_OFFER				;Пожалуйста, рассмотрите это торговое предложение.\n\nМы даем вам: {0}...\n\n...в обмен на: {1}
DEAL_DEMAND				;Мы требуем, чтобы вы отказались от владения этим:\n\n{1}
DEAL_THREAT				;Вы должны дать нам это:\n\n{1}\n\n...{0}
DEAL_ACCEPTCOMPLAIN		;Мы уступаем вашим возмутительным требованиям, но под принуждением!
