
GREETING_INTRODUCTION			;Мы - {0}.\n\nМы никого не боимся. Мы защищаем свою территорию с мужеством.\n\nНе провоцируйте нас.
GREETING_FRIENDLY			;Изложите нам свои мысли, союзник
GREETING_NEUTRAL			;У вас есть что сказать?
GREETING_ANGRY				;Говори быстрее, твое одно лишь присутствие приводит нас в ярость!

PIRATE_PROTECTIONPROPOSE		;Ищете защиту?\n\nЗа небольшую плату, указанную ниже, мы можем «защитить» все ваши корабли в нашем регионе.
PIRATE_PROTECTIONPROPOSEINITIATE	;Галактика может быть мрачным и опасным местом. Без надлежащей защиты вы можете пострадать.\n\nМы можем гарантировать, что ни один из ваших кораблей не пострадает при торговле на нашей территории.\n\nЕжемесячная плата за защиту указана ниже.

PIRATE_PROTECTIONACCEPTRESPONSE		;Вы сделали правильный выбор!\n\nВ течение шести месяцев все ваши корабли будут вести торговлю без каких-либо проблем.
PIRATE_PROTECTIONREJECTRESPONSE		;Если вы не заплатите, могут произойти страшные вещи.\n\nЭто было бы грустно
PIRATE_ATTACKOFFER_SINGLEEMPIRE		;Вы не ладите с {0}. Мы можем помочь вам решить эту проблему, нанеся {0} болезненные потери.\n\nОни даже не поймут, что их настигло!\n\nПросто заплатите нам {1} кредитов, и мы позаботимся обо всем за вас.\n\nСделка?
PIRATE_ATTACKCOMMENCE			;Получен перевод средств.\n\nНаши атаки на {0} начинаются немедленно!


OFFER_FREETRADE				;Мы предлагаем вам Соглашение о свободной торговле. Прибыль может быть огромной!\n\nВы принимаете?
FREETRADE_ACCEPT			;Это соглашение о свободной торговле звучит очень прибыльно! Мы принимаем!
FREETRADE_REJECT			;Мы не хотим заключать с вами Соглашение о свободной торговле. Вы слишком слабы, чтобы принести нам пользу.

CANCELTREATY				;Этот {0} больше не работает для нас. Мы отменяем его
CANCELTREATY_RESPONSE_FRIENDLY		;Как жаль.\n\nМы ценили этот договор. Похоже, вы не ценили.
CANCELTREATY_RESPONSE_NEUTRAL		;Что ж, значит, этот договор расторгнут.
CANCELTREATY_RESPONSE_ANGRY		;Ха-ха! Это должно нас напугать? Мы можем показать тебе настоящий страх.\n\nНе заставляй нас!

TREATY_PROPOSAL				;Изложите ваше предложение. Мы слушаем.
TREATY_ACCEPTRESPONSE			;Отлично, отлично. Добро пожаловать к нашим новым союзникам!
TREATY_REJECTRESPONSE			;Это ваш выбор. Однако это плохой выбор.

TRADESANCTIONS_IMPOSE			;Теперь ты почувствуешь наш гнев! Мы немедленно прекращаем всю торговлю между нашими двумя империями.\n\nПосмотрим, насколько тебе понравятся Торговые санкции!
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;Как вы смеете отрезать нас от всего так!\n\nВы почувствуете наш гнев! Мы не примем этого!
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;Сохрани свои назойливые речи для кого-нибудь другого.\n\nМы не боимся потерять вашу торговлю. Мы сильны
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Торговые санкции?! Вы уверены в этом?\n\nВозможно, вам стоит пересмотреть этот глупый шаг...
TRADESANCTIONS_LIFT			;Наши торговые санкции против вас прекращены. Мы возобновляем обычную торговлю.\n\nНе злите нас снова.
TRADESANCTIONS_LIFT_RESPONSE		;Вы можете поступать по своему усмотрению. Ваши действия не имеют для нас никакого значения.

WAR_DECLARE				;Вы слишком сильно нас провоцируете - наша ярость переполняется!\n\nВОЙНА против вашей жалкой империи! Мы доведем вас до вашего конца!
WAR_DECLARE_RESPONSE_EAGER		;Мы приветствуем войну с вами! Теперь мы сможем стереть вас из галактики!
WAR_DECLARE_RESPONSE_NEUTRAL		;Это плохо закончится для тебя.\n\nПриготовь свою оборону - она тебе понадобится!
WAR_DECLARE_RESPONSE_SURPRISED		;Мы не ожидали такого предательства с твоей стороны.\n\nНо теперь ты определил свою судьбу: мы уничтожим твою никчемную цивилизацию.

WAR_END					;Наша ярость утихла. Теперь пришло время положить конец этой войне.\n\nЧто вы скажете?
WAR_END_ACCEPT				;Да, мы согласны завершить эту войну. По крайней мере, на данный момент...
WAR_END_REJECT				;Нет, мы слишком наслаждаемся этой войной, чтобы желать её окончания!

GIFT_GIVE				;Мы даем вам {0} кредитов. Разве мы не щедры!
GIFT_THANKS				;Подарок? Нам? Как чудесно! Спасибо

WARNING_INTELLIGENCEMISSIONS			;Ваши тайные миссии сильно нас разгневали!\n\nПрекратите их немедленно, или ощутите наш болезненный ответ!
WARNING_ATTACKS					;Почему вы атакуете наши корабли?!\n\nПрекратите! Мы злы, злы, ЗЛЫ!

WARNING						;Что означает это предупреждение?
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;Мы не знаем ни о каких миссиях против вас, друг.\n\nНо мы не всегда знаем всё, что происходит в нашей обширной империи.\n\nМы разберемся в этом деле за вас.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;Мы расследуем ваши обвинения
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Секретные миссии? Да, мы просто вас не любим.\n\nВы можете ожидать их больше, и, надеюсь, вы не обнаружите следующие...
WARNING_ATTACKS_RESPONSE_FRIENDLY		;Приносим извинения: некоторые из наших капитанов звездолетов, должно быть, слишком увлеклись.\n\nМы примем меры, чтобы это больше не повторилось.
WARNING_ATTACKS_RESPONSE_NEUTRAL		;Это крайне тревожно. Мы расследуем это дело.
WARNING_ATTACKS_RESPONSE_ANGRY			;Атаки? Что ж, да, мы их отправили.\n\nВы удивлены этим? Вы думаете, мы вас любим или что-то в этом роде?
