
GREETING_INTRODUCTION		;Мы - {0}.\n\nМы - мирные странники, стремящиеся к гармонии и доброй воле со всеми.
GREETING_FRIENDLY			;Какой злой замысел ты пришел разделить с нами, друг?
GREETING_NEUTRAL			;Объясните ваше присутствие перед нами
GREETING_ANGRY				;Ты пришел поговорить с нами, враг?\n\nЧто ты хочешь сказать?

OFFER_FREETRADE				;Вы согласитесь на соглашение о свободной торговле с нами?\n\nЭто принесет огромную выгоду обеим нашим экономикам. А заодно мы сможем прикинуть ваши силы для будущего завоевания.\n\nЧто вы скажете?
FREETRADE_ACCEPT			;Соглашение о свободной торговле было бы очень полезным. Мы принимаем.
FREETRADE_REJECT			;Нет, мы не заинтересованы в Соглашении о свободной торговле.\n\nУ нас для вас есть другие планы...

CANCELTREATY						;Наши {0} с вами прекращены.\n\nЭто соглашение больше не представляет для нас никакой ценности.
CANCELTREATY_RESPONSE_FRIENDLY		;Раньше мы вас любили.\n\nНо, возможно, мы ошиблись в оценке...
CANCELTREATY_RESPONSE_NEUTRAL		;Ну что ж. Ваше оскорбление принято к сведению
CANCELTREATY_RESPONSE_ANGRY			;Хорошо, хорошо. Этот договор всё равно мешал нашим планам.

TREATY_PROPOSAL					;Что именно вы предлагаете?
TREATY_ACCEPTRESPONSE			;Отлично!\n\nМы надеемся, что вы являетесь послушными и покорными союзниками. Так ли это?
TREATY_REJECTRESPONSE			;Как же вы самостоятельны.\n\nЭто не та черта, которая нам нравится.

TRADESANCTIONS_IMPOSE			;Настало время подготовить вас к сдаче: мы вводим против вас торговые санкции!\n\nНе тратьте время на ответ; нам не интересно ваше мнение.
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;Мы пылаем гневом к тебе!\n\nНе думай, что ты достаточно силен, чтобы бросить нам вызов - ты не достоин.
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;Если бы нам было до этого дело, мы могли бы разозлиться.\n\nНо нам нет, поэтому мы не злимся.
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Мы признаем, что ваши действия застали нас врасплох.\n\nНо спасибо, что обозначили себя как нашего врага.\n\nБудьте уверены, мы разберемся с вами, когда будем готовы...
TRADESANCTIONS_LIFT			;Мы снимаем торговые санкции в отношении вас.\n\nПохоже, вы стали гораздо более покладистым. Урок усвоен.
TRADESANCTIONS_LIFT_RESPONSE		;Похоже, это имеет для вас огромное значение.\n\nНо не для нас.

WAR_DECLARE				;Ваша очередь быть поглощенными нашей могущественной империей: мы объявляем вам ВОЙНУ!\n\nВаше завоевание будет быстрым и тотальным.\n\nПожалуйста, не умоляйте о пощаде - у нас её нет.
WAR_DECLARE_RESPONSE_EAGER		;Какое ироничное стечение обстоятельств — мы как раз собирались объявить вам войну! Как удобно.\n\nА теперь вы должны погибнуть...
WAR_DECLARE_RESPONSE_NEUTRAL		;Как же вы храбры — осмелились вступить с нами в бой!\n\nРазумеется, храбрость и глупость тесно связаны.\n\nВ данном случае — очень тесно.
WAR_DECLARE_RESPONSE_SURPRISED		;Ты полон сюрпризов!\n\nНо мы всегда рады хорошей драке.\n\nТак что победа сильнейшим! А это, конечно, мы.

WAR_END					;Настало время положить конец этой войне. Вашу ассимиляцию мы завершим позже.\n\nЧто вы скажете?
WAR_END_ACCEPT				;Впервые мы с вами согласны — эта война должна закончиться.\n\nНаши войска прекращают боевые действия
WAR_END_REJECT				;Закончить войну?!\n\nТолько слабые жаждут облегчения от своих потерь. Сильные же продолжают наступать, покоряя новые земли. Вы — слабые, а мы — сильные.\n\nЭта война ещё не окончена.

GIFT_GIVE				;У нас есть подарок для вас в размере {0} кредитов.\n\nДоброта не в нашей природе.\n\nТак что вам будет мудро расценить это как циничный маневр
GIFT_THANKS				;Спасибо за ваш подарок.\n\nОн напоминает нам о побежденном враге, платящем нам дань.

WARNING						;Вы хотите нас предупредить?\n\nВперед, тратьте свои слова на нас.
WARNING_INTELLIGENCEMISSIONS			;Мы знаем о ваших тайных операциях против нас.\n\nБудьте предупреждены: мы можем преподать вам урок предательства, который вы никогда не забудете...\n\nПрекратите свои операции сейчас, пока еще можете.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;Миссии против вас? Как шокирующе
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;Не беспокойтесь. Это всего лишь наша рутинная слежка за вашей империей.\n\nНичего зловещего, о чем стоило бы беспокоиться.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Прекратить миссии? Это обычно указывает на подготовку к войне.\n\nНо, безусловно, здесь дело обстоит не так. Так что не беспокойтесь об этом...
WARNING_ATTACKS					;Прекратите ваши откровенные атаки на наши корабли и базы!\n\nЭти действия ставят вас на очень опасную почву. Мы предупреждаем вас, чтобы вы остановились сейчас.
WARNING_ATTACKS_RESPONSE_FRIENDLY		;Нападения на вас? Мы так расстроены этим.
WARNING_ATTACKS_RESPONSE_NEUTRAL		;Нападения на ВАС?!\n\nНет-нет, наши корабли лишь отражали атаки ваших сил.\n\nПожалуйста, не повторяйте этого.
WARNING_ATTACKS_RESPONSE_ANGRY			;Атаки?\n\nДа, мы ослабляем вас перед тем, как начать полномасштабное наступление.\n\nХотите обсудить что-нибудь ещё?
