'System names

Альфа Кассиэда, Аракс, Бета Капола, Бита Дасолун, Бетилоси,
Уреун, Тирра, Таорос, Куриллеа, Аквениа,
Набуу, Ипселун, Курдассеа, Антарис, Фирассеа,
Вуртул, Риксул, Хоргиллеом, Браксиос, Гиракс,
Индасеун, Джирет, Куан, Ленос, Моктай,
Нараз, Усалеа, Пануксиэль, Килтус, Ринассеан,
Шантол, Тета Улорос, Осинейус, Варахта, Вйот,
Занат, Йосул, Залдикс, Гамма, Дилтак,
Цита Пассолос, Ита, Каппа, Лямбда, Сигма,
Умага, Сул, Астра, Баратсеан, Кидунея,
Дизантеом, Илисеом, Фоселу, Гамулак, Хират,
Эулу, Ясулон, Каннарат, Лоридео, Майлструм,
Максус, Нарсиллеан, Урктуун, Фарус, Прумальдея,
Квентус, Рудус, Састеа, Троксейн, Одан,
Варга, Виндус, Ксирус, Ярас, Зафулос,
Андрумида, Капедуру, Лирас, Миндара, Плиадос,
Рамазин, Редил, Ромул, Нультра, Критания,
Аргос, Аквареос, Дженимур, Канес, Нурастус,
Хут, Индур, Дагуба, Татуэни, Менас,
Гундур, Куроксант, Вулкан, Алдираан, Явен,
Адомар, Абригаду-Рай, Андат, Анду, Ансун,
Аредос, Аркания, Бакора, Билкадан, Белбренге,
Бутауэ, Бринтаал, Каамас, Дантуэни, Датумир,
Дуруг, Иреда, Гамурр, Гиунусы, Этур,
Куамено, Эксул, Клатуэни, Курруба, Йотлис,
Леанна, Маластари, Мембан, Мун Каламаре, Мурешем,
Кал Натту, Нам Хурейус, Ниемудеа, Нерион, Урд Радамар,
Усареан, Уссо, Фендар, Руммамул, Реш
Ротан, Силуэна, Слоуз Ван, Соллост, Талос,
Трандуша, Тинна, Варунат, Хагубах, Зунана Сикут,
Альманея, Анурбес, Анут, Антар, Анзат,
Арбра, Аредос, Ацирре, Бандумиир, Билсувас,
Бистени, Бунадан, Бурлиас, Бисс, Кареда,
Хакалта, Кумминур, Куролаг, Да Суукха, Диллалт,
Дурен, Добреллеун, Иссиллис, Фалиин, Фундур,
Гурки, Гиндени, Хунугр, Джомос, Каларба,
Кашыус, Хулум, Кувок, Кубенде, Муунос Мандил,
Монту Кудро, Миркр, Нкллун, Убруа Скаэ, Умват,
Ундирун, Урд Бениир, Урд Мантилл, Килла, Койрмеа,
Ралтеер, Рилут, Саккурреа, Тальфаглеу, Танааб,
Тилус, Ралдон, Тир, Тесспеас, Тулатен,
Тифирра, Туправа, Туидария, Тонд, Омгал,
Волптир, Ягдхол, Яга, Илисея, Илекс,
Зилтрусы, Жары, Зесты, Руры, Гарусы,
Аайтун, Аагра, Ааргао, Абуншии, Абраксас,
Абригаду-Сан, Абригаду-Фос, Адига, Адоба, Акореа,
Алмас, Алуртас, Аloreun, Алзук, Аксом,
Азамол, Барунда, Бенарус, Буунта, Буву Ягин,
Брахнес Хурейус, Коло Асоги, Борнен Канн, Кадамаэ, Калипса,
Кал-Сету, Кантрас Гула, Карусос, Каттамаскар, Харинтут,
Керун, Кеннаттар, Билгарут, Кумминур, Муркдор,
Рухан, Коланция, Кантрем, Куурембос, Курбус,
Куджекос, Коларен, Кигнос, Кемарра, Кифар,
Киреллея, Дагилен, Дагру, Дакшии, Даластени,
Далория Тракеа, Дандалас, Ди Джирреллеун, Диларе, Дилдираан,
Димуфун, Диннаскар, Динтаал, Диррекун, Диспейри,
Дийсом, Дурейан, Делуникса, Дум-Браддин, Дурвалла,
Драйтус, Драммонд Каас, Д'воран, Ибеван, Айсбу,
Илукас, Илшандруу Пека, Ифимира, Ипсе Надер, Иргишоэ,
Искабар, Иссувин, Икориун, Иксукрун, Фурмус,
Фрамисс Ягин, Гарн, Гименур, Гуду, Гулрат,
Гундагале, Хад Аббадун, Хандууэни, Харун Кал, Хаврекос,
Хелу, Хуппауэ, Холтому, Хорекани, Гипуре,
Игнация, Эндилиан, Энденур, Эндо Сан, Эредуния,
Эсди Наха, Яймос, Джаменири, Янудрал Мезар, Джинтавое,
Джиражадура, Калан, Каландес, Каллестас, Кал'Шиббул,
Камури, Кампарас, Кандумар, Кестус, Керетос,
Чар Дилба, Киелемаар, Акуэни, Сертанеа, Десмаану,
Куристар, Суббан, Шудаста, Тукан, Джуантар,
Вурас, Ларамос, Лавесар, Лазиреан, Линталес,
